October,2015,Carlow,                  -  ,                  -  ,80,                  -  ,                  -  ,12,1,                  -  ,239,4,                  -  ,28,1,5,8,                  -  ,11,                  -  ,                  -  ,                  -  ,39,                  -  ,10,                  -  ,                  -  ,3,12,                  -  ,3,                  -  ,                  -  ,23,3,16,1,                  -  ,                  -  ,952,6,                  -  ,                  -  ,1,2,                  -  ,130,11,                  -  ,                  -  ,                  -  ,3,                  -  ,59,3,                  -  ,                  -  ,83,16,1,                  -  ,                  -  ,1,3,1,71,                  -  ,7,3
November,2015,Carlow,1,115,82,4,3,36,4,                  -  ,                  -  ,10,                  -  ,                  -  ,                  -  ,3,                  -  ,                  -  ,"7,755",                  -  ,                  -  ,86,                  -  ,                  -  ,11,1,          -  ,230,4,          -  ,28,          -  ,5,8,          -  ,11,          -  ,          -  ,          -  ,37,          -  ,11,          -  ,          -  ,3,12,          -  ,3,          -  ,          -  ,23,3,16,1,          -  ,          -  ,954,7,          -  ,          -  ,1,2,          -  ,132,12,          -  ,          -  ,          -  ,3
December,2015,Carlow,1,57,3,          -  ,          -  ,83,17,1,          -  ,          -  ,1,2,1,81,          -  ,7,3,1,122,80,4,3,38,4,          -  ,          -  ,8,          -  ,          -  ,          -  ,3,          -  ,          -  ,"7,790",          -  ,          -  ,94,          -  ,          -  ,10,1,                 -  ,223,4,                 -  ,28,                 -  ,4,8,                 -  ,11,                 -  ,                 -  ,                 -  ,38,                 -  ,11,                 -  ,                 -  ,3,12,                 -  ,3,                 -  ,                 -  ,23,2
January,2016,Carlow,17,1,                 -  ,                 -  ,947,6,                 -  ,                 -  ,1,2,                 -  ,136,11,                 -  ,                 -  ,                 -  ,3,1,55,3,                 -  ,                 -  ,86,17,1,                 -  ,                 -  ,2,2,1,91,                 -  ,7,3,1,122,78,4,3,40,4,                 -  ,                 -  ,8,                 -  ,                 -  ,                 -  ,3,                 -  ,                 -  ,"7,793",                 -  ,                 -  ,100,                 -  ,                 -  ,10,1,              -  ,218,4,              -  ,26,              -  ,4,              -  ,              -  
February,2016,Carlow,              -  ,1,10,              -  ,12,              -  ,              -  ,              -  ,39,              -  ,11,              -  ,              -  ,3,11,              -  ,3,              -  ,              -  ,24,2,18,1,              -  ,              -  ,953,6,              -  ,              -  ,1,2,              -  ,139,11,              -  ,              -  ,              -  ,3,1,56,3,              -  ,              -  ,86,17,1,              -  ,              -  ,3,2,1,94,              -  ,7,2,1,117,76,4,2,40,4,              -  ,              -  ,8,              -  ,              -  
March,2016,Carlow,              -  ,3,              -  ,              -  ,"7,963",              -  ,              -  ,              -  ,              -  ,              -  ,              -  ,99,              -  ,              -  ,9,1,          -  ,210,4,          -  ,25,          -  ,4,1,          -  ,1,1,11,          -  ,12,          -  ,          -  ,          -  ,39,          -  ,12,          -  ,          -  ,3,11,          -  ,3,          -  ,          -  ,22,2,17,1,          -  ,          -  ,950,6,          -  ,          -  ,1,2,          -  ,138,11,          -  ,          -  ,          -  ,3,1,56,2,          -  
April,2016,Carlow,          -  ,87,17,1,          -  ,          -  ,3,2,1,100,          -  ,          -  ,8,2,1,115,75,4,2,          -  ,42,5,          -  ,          -  ,8,          -  ,          -  ,          -  ,3,          -  ,          -  ,"7,943",          -  ,          -  ,          -  ,          -  ,          -  ,          -  ,96,          -  ,          -  ,10,1,                 -  ,204,4,                 -  ,25,1,4,1,                 -  ,1,1,9,                 -  ,13,                 -  ,                 -  ,                 -  ,39,                 -  ,12,                 -  ,                 -  ,3,11
May,2016,Carlow,                 -  ,2,1,                 -  ,18,21,1,                 -  ,                 -  ,                 -  ,940,6,                 -  ,                 -  ,1,2,                 -  ,140,11,                 -  ,                 -  ,1,3,55,2,                 -  ,                 -  ,                 -  ,87,17,1,                 -  ,                 -  ,3,2,1,104,                 -  ,                 -  ,8,2,1,113,74,4,2,                 -  ,45,5,                 -  ,                 -  ,8,                 -  ,                 -  ,                 -  ,3,                 -  ,                 -  ,"7,971",                 -  ,                 -  ,                 -  ,                 -  ,                 -  ,                 -  ,                 -  ,101
June,2016,Carlow,                 -  ,                 -  ,10,1,          -  ,198,4,          -  ,24,1,4,1,          -  ,1,1,8,          -  ,12,          -  ,          -  ,          -  ,39,          -  ,12,          -  ,          -  ,3,11,          -  ,1,1,          -  ,18,20,2,          -  ,          -  ,          -  ,943,5,          -  ,          -  ,1,2,          -  ,136,11,          -  ,          -  ,1,3,54,2,          -  ,          -  ,          -  ,88,15,1,          -  ,          -  ,3,2,1,104,          -  ,          -  
July,2016,Carlow,8,2,1,110,72,4,2,          -  ,43,5,          -  ,          -  ,8,          -  ,          -  ,          -  ,3,          -  ,          -  ,"8,029",          -  ,          -  ,          -  ,          -  ,          -  ,          -  ,          -  ,99,          -  ,          -  ,11,1,                 -  ,193,3,                 -  ,24,1,4,1,1,1,2,8,                 -  ,11,                 -  ,                 -  ,                 -  ,39,                 -  ,11,                 -  ,                 -  ,3,10,                 -  ,1,1,                 -  ,17,20,2,                 -  ,                 -  ,                 -  ,932
August,2016,Carlow,5,                 -  ,                 -  ,1,2,                 -  ,135,12,                 -  ,     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,2016,Carlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,2016,Carlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,2016,Carlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,2016,Carlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2014,Cavan,17,2,2,47,1,1,8,2,2,5,4,7,1,1,71,5,3,1,3,,,,,7,4,4,1,,,"1,124",12,,,,,123,23,,,3,2,25,3,,7,,71,16,5,,,4,1,,4,2,9,58,174,5,14,16,,,"7,700",,8
February,2014,Cavan,17,2,2,53,1,1,9,2,2,6,5,8,1,1,68,8,2,1,3,,,,,7,4,4,1,,,"1,112",14,,,1,,119,25,,,3,2,25,2,,7,,67,17,5,,,3,1,,3,1,9,62,165,5,14,14,,,"7,866",,7
March,2014,Cavan,18,2,2,58,2,1,10,3,2,6,5,8,1,1,67,9,2,1,3,,,,,8,4,5,2,,,"1,143",13,,,1,,112,23,,,3,2,23,2,,7,,65,14,5,,,3,1,,4,1,8,63,146,5,11,15,,,"7,769",,8
April,2014,Cavan,19,2,2,62,3,1,12,3,2,6,5,9,1,1,67,10,2,1,3,,,,,9,4,6,2,,,"1,162",13,,,1,,116,24,,,3,2,23,2,,6,,65,14,5,,,3,1,,5,1,5,67,138,3,11,13,,,"7,487",,9
May,2014,Cavan,19,2,2,70,3,2,14,3,3,6,4,11,1,1,65,10,2,1,3,,,,,11,5,6,2,,,"1,164",12,,            -  ,1,,117,24,,,3,2,22,2,1,6,,66,13,5,,,3,2,,6,1,5,67,133,3,10,14,,            -  ,"7,520",,10
June,2014,Cavan,19,2,2,74,4,2,15,3,4,6,4,11,1,1,67,10,2,1,3,,,,,11,5,6,2,,,"1,160",14,,            -  ,1,,116,24,,,3,2,20,2,1,6,,66,12,5,,,3,2,,7,1,6,68,127,1,3,9,14,,,"7,528",
July,2014,Cavan,10,19,2,2,84,4,3,17,4,4,1,5,9,1,1,66,10,2,1,3,,,,,12,5,6,2,,,"1,133",15,,,1,,112,23,,,3,2,22,2,1,6,,63,12,5,,,3,2,,7,1,3,44,108,3,8,13,,,"7,562",
August,2014,Cavan,9,19,2,2,86,4,3,17,4,4,1,5,9,1,1,65,12,2,1,3,,,,,13,6,6,2,,,"1,132",14,,           -  ,1,,112,22,,,4,2,21,2,1,5,,64,12,5,,,3,2,,6,1,3,47,99,2,7,15,,,"7,567",
September,2014,Cavan,10,20,2,2,95,4,7,18,4,4,6,5,21,1,1,64,41,3,1,3,,6,,,15,8,7,4,,            -  ,"1,153",14,4,,1,            -  ,120,23,,,4,2,21,2,1,5,,65,12,7,,,3,2,,15,1,3,236,95,4,7,14,            -  ,3,"7,608",1
October,2014,Cavan,57,21,2,2,103,4,3,18,4,4,7,5,22,1,1,65,42,3,,3,,,,,13,8,9,2,,,"1,163",14,8,,1,,125,21,,,5,2,24,2,1,5,,56,11,5,,,3,2,,,14,1,3,239,93,4,6,,3,14,
November,2014,Cavan,4,"7,662",1,64,,,22,2,2,106,5,3,18,4,4,7,4,22,1,1,,67,42,3,,,3,,,,,13,8,9,2,,,"1,171",13,8,,1,,123,21,,,5,2,23,2,1,5,,51,9,4,,,3,3,,2,14,1,3,242
December,2014,Cavan,88,3,6,6,,,14,,4,"7,625",1,70,,,21,2,2,111,5,3,21,6,4,7,4,21,1,1,1,68,,46,2,,,3,,1,,,14,8,9,2,,,"1,155",14,9,,1,,,128,19,,,5,2,20,1,1,4,,50,9,4
January,2014,Cavan,,,3,3,,7,14,1,3,251,83,1,5,13,,,,13,,,5,"7,461",1,88,,,,22,2,2,114,5,3,21,6,4,8,4,20,1,1,1,69,,46,2,,,3,,1,,,14,8,9,2,,,"1,179",14,9,,1,,,128
February,2015,Cavan,18,2,,,5,2,20,2,1,4,,51,9,3,,,3,3,,11,15,1,3,245,77,1,5,17,,,,14,,,5,"7,555",1,93,,,,20,3,3,123,5,3,24,6,4,10,3,22,1,1,1,70,,43,1,,,3,,1,,
March,2015,Cavan,16,13,10,2,,,"1,157",15,9,,1,,,125,18,13,,,3,2,18,2,1,4,,50,9,4,,,3,3,,17,,15,1,3,257,60,1,3,23,,,,16,,,5,"7,511",1,117,,,,20,5,3,130,5,4,26,6,5,9,3
April,2015,Cavan,22,1,1,1,72,,40,1,,,3,,1,,,18,16,10,2,,,"1,149",15,9,,1,,,119,16,15,,,3,1,14,2,1,4,,48,9,4,,,3,3,,22,,15,1,1,256,49,,3,27,,,,14,,,,5,"7,642"
May,2015,Cavan,1,132,,,,20,5,4,130,5,4,26,6,5,9,3,20,1,1,1,73,,38,1,,,3,,1,,,18,16,10,2,,,"1,140",15,10,,1,,,120,15,89,82,,,3,1,15,2,1,5,,47,10,4,,,3,3,,26,
June,2015,Cavan,13,1,1,247,47,,3,31,,,,17,,,,4,,"7,589",,140,,,,17,5,4,132,5,4,27,6,5,9,3,21,1,1,1,73,,40,1,,,3,,1,,,21,16,9,2,,1,"1,125",14,10,,1,,,119,16,,,3
July,2015,Cavan,1,16,2,1,5,,48,10,4,,,4,3,,33,,13,1,1,253,45,,3,35,1,,,18,,,,2,,,"7,853",,160,,,,17,5,4,133,5,4,30,6,5,9,3,21,1,,1,72,,42,1,,,2,,1,,,21
August,2015,Cavan,16,9,2,,1,"1,134",14,9,,1,,,118,16,,,3,1,17,2,1,5,,51,10,4,,,4,3,,34,,14,1,1,241,45,,2,38,1,,,19,,,,2,,,"7,825",,,164,,,,15,4,4,135,5,4,30,6,4
September,2015,Cavan,9,3,21,1,                  -  ,1,72,                  -  ,44,1,                  -  ,                  -  ,2,                  -  ,1,                  -  ,                  -  ,15,9,20,2,                  -  ,1,"1,124",15,9,                  -  ,1,                  -  ,                  -  ,114,15,1,                  -  ,                  -  ,1,3,19,2,5,                  -  ,51,10,4,                  -  ,                  -  ,4,3,                  -  ,37,                  -  ,14,1,1,240,44,                  -  ,1,41,1,                  -  ,                  -  ,20,                  -  ,                  -  ,                  -  ,3
October,2015,Cavan,                  -  ,                  -  ,"7,873",                  -  ,                  -  ,172,                  -  ,                  -  ,14,3,3,133,5,4,29,6,4,8,3,20,1,                  -  ,1,72,                  -  ,44,1,                  -  ,                  -  ,2,                  -  ,1,                  -  ,                  -  ,15,9,21,2,                  -  ,1,"1,129",16,9,                  -  ,1,                  -  ,                  -  ,114,16,1,                  -  ,                  -  ,1,3,21,2,5,                  -  ,50,10,4,                  -  ,                  -  ,5,3,                  -  ,38
November,2015,Cavan,                  -  ,14,1,1,241,44,                  -  ,1,44,1,                  -  ,                  -  ,20,                  -  ,                  -  ,                  -  ,3,                  -  ,                  -  ,"8,145",                  -  ,                  -  ,180,                  -  ,                  -  ,13,3,3,133,5,4,29,6,4,8,3,19,1,          -  ,1,71,          -  ,46,1,          -  ,          -  ,1,          -  ,1,1,          -  ,15,10,21,1,          -  ,1,"1,120",16,9,          -  ,1,          -  ,          -  ,115,15,1
